DatasetType,Eta,Sigma,N,GridSize,QuantificationError,SelfOrganizationError
uniform,0.0,1.4,100000,"(10, 10)",0.4282282638047947,0.9941666666666666
uniform,0.01,1.4,100000,"(10, 10)",0.027649734130373912,0.016666666666666666
uniform,0.05,1.4,100000,"(10, 10)",0.019556241770522217,0.0
uniform,0.1,1.4,100000,"(10, 10)",0.019472360713115724,0.0
uniform,0.5,1.4,100000,"(10, 10)",0.01952502932945055,0.006666666666666667
uniform,1.0,1.4,100000,"(10, 10)",0.03156975093707822,0.03916666666666667
uniform,0.05,0.1,100000,"(10, 10)",0.009693179808094093,0.9058333333333334
uniform,0.05,0.4,100000,"(10, 10)",0.008057026970823692,0.49333333333333335
uniform,0.05,1.4,100000,"(10, 10)",0.019062231660323507,0.0
uniform,0.05,2.0,100000,"(10, 10)",0.03547330259127576,0.0
uniform,0.05,4.0,100000,"(10, 10)",0.12950567088562892,0.0
uniform,0.05,1.4,1000,"(10, 10)",0.04143480533636439,0.12416666666666666
uniform,0.05,1.4,5000,"(10, 10)",0.023279713153934675,0.0016666666666666668
uniform,0.05,1.4,10000,"(10, 10)",0.029482877236568818,0.019166666666666665
uniform,0.05,1.4,30000,"(10, 10)",0.01768142381667859,0.0
uniform,0.05,1.4,50000,"(10, 10)",0.020941959799132957,0.0
uniform,0.05,1.4,100000,"(10, 10)",0.019470082745628073,0.0
uniform,0.05,1.4,100000,"(10, 10)",0.020633410489954252,0.0
uniform,0.05,1.4,100000,"(20, 5)",0.024587012168995653,0.02666666666666667
uniform,0.05,1.4,100000,"(5, 20)",0.02483676823133727,0.045
uniform,0.05,1.4,100000,"(30, 1)",0.047691019330924754,0.0275
clustered,0.0,1.4,100000,"(10, 10)",0.003345386641218823,0.8683333333333333
clustered,0.01,1.4,100000,"(10, 10)",0.0038765511618390437,0.035
clustered,0.05,1.4,100000,"(10, 10)",0.0035040718720453484,0.0075
clustered,0.1,1.4,100000,"(10, 10)",0.003951047859855314,0.01
clustered,0.5,1.4,100000,"(10, 10)",0.004182183427477252,0.019166666666666665
clustered,1.0,1.4,100000,"(10, 10)",0.004703818607027076,0.0825
clustered,0.05,0.1,100000,"(10, 10)",0.0014008303097423826,0.9716666666666667
clustered,0.05,0.4,100000,"(10, 10)",0.0010780680424780174,0.5991666666666666
clustered,0.05,1.4,100000,"(10, 10)",0.003239466738347487,0.015
clustered,0.05,2.0,100000,"(10, 10)",0.007358310447985961,0.010833333333333334
clustered,0.05,4.0,100000,"(10, 10)",0.025522576349924348,0.006666666666666667
clustered,0.05,1.4,1000,"(10, 10)",0.005686407282507874,0.18
clustered,0.05,1.4,5000,"(10, 10)",0.0035934727820504855,0.08416666666666667
clustered,0.05,1.4,10000,"(10, 10)",0.003403834378015392,0.0325
clustered,0.05,1.4,30000,"(10, 10)",0.003645851232941182,0.115
clustered,0.05,1.4,50000,"(10, 10)",0.003392999301005947,0.013333333333333334
clustered,0.05,1.4,100000,"(10, 10)",0.0032219397782078385,0.014166666666666666
clustered,0.05,1.4,100000,"(10, 10)",0.0038655984569110893,0.07833333333333334
clustered,0.05,1.4,100000,"(20, 5)",0.0038141685619075983,0.013333333333333334
clustered,0.05,1.4,100000,"(5, 20)",0.00372486970827259,0.0033333333333333335
clustered,0.05,1.4,100000,"(30, 1)",0.006612725513724696,0.08
random_gap,0.0,1.4,100000,"(10, 10)",0.402909433755844,0.9181721572794899
random_gap,0.01,1.4,100000,"(10, 10)",0.0219289663908321,0.006376195536663124
random_gap,0.05,1.4,100000,"(10, 10)",0.016683303576918936,0.0
random_gap,0.1,1.4,100000,"(10, 10)",0.0245376283178185,0.028692879914984058
random_gap,0.5,1.4,100000,"(10, 10)",0.018312630313625247,0.0
random_gap,1.0,1.4,100000,"(10, 10)",0.026579958332001146,0.022316684378320937
random_gap,0.05,0.1,100000,"(10, 10)",0.01593208240594124,0.975557917109458
random_gap,0.05,0.4,100000,"(10, 10)",0.006008033674723667,0.5589798087141339
random_gap,0.05,1.4,100000,"(10, 10)",0.019340061970733395,0.0
random_gap,0.05,2.0,100000,"(10, 10)",0.03041315153808324,0.0
random_gap,0.05,4.0,100000,"(10, 10)",0.11884668327292076,0.0
random_gap,0.05,1.4,1000,"(10, 10)",0.04721591484455536,0.23273113708820403
random_gap,0.05,1.4,5000,"(10, 10)",0.0157704266857991,0.0
random_gap,0.05,1.4,10000,"(10, 10)",0.017392358005373986,0.0
random_gap,0.05,1.4,30000,"(10, 10)",0.020144297639756496,0.005313496280552604
random_gap,0.05,1.4,50000,"(10, 10)",0.01793565017033804,0.0
random_gap,0.05,1.4,100000,"(10, 10)",0.01736966040130857,0.0
random_gap,0.05,1.4,100000,"(10, 10)",0.017133265018395023,0.0
random_gap,0.05,1.4,100000,"(20, 5)",0.017952129087237884,0.021253985122210415
random_gap,0.05,1.4,100000,"(5, 20)",0.022804398324244347,0.01700318809776833
random_gap,0.05,1.4,100000,"(30, 1)",0.04116633584127787,0.020191285866099893
